127.0.0.1 - - [10/Apr/2020:09:48:58 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [10/Apr/2020:09:48:59 +0900] "GET /WebClient/Ex05_Basic_CSS.html HTTP/1.1" 200 535
0:0:0:0:0:0:0:1 - - [10/Apr/2020:09:48:59 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [10/Apr/2020:11:00:44 +0900] "GET /WebClient/Ex06_Basic_CSS.html HTTP/1.1" 200 965
0:0:0:0:0:0:0:1 - - [10/Apr/2020:11:01:21 +0900] "GET /WebClient/Ex06_Basic_CSS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2020:11:01:22 +0900] "GET /WebClient/Ex06_Basic_CSS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2020:11:01:22 +0900] "GET /WebClient/Ex06_Basic_CSS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2020:11:01:22 +0900] "GET /WebClient/Ex06_Basic_CSS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2020:11:01:22 +0900] "GET /WebClient/Ex06_Basic_CSS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2020:11:01:40 +0900] "GET /WebClient/Ex06_Basic_CSS.html HTTP/1.1" 200 981
0:0:0:0:0:0:0:1 - - [10/Apr/2020:11:01:40 +0900] "GET /WebClient/Ex06_Basic_CSS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2020:11:01:41 +0900] "GET /WebClient/Ex06_Basic_CSS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2020:11:01:41 +0900] "GET /WebClient/Ex06_Basic_CSS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2020:11:01:41 +0900] "GET /WebClient/Ex06_Basic_CSS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2020:11:01:41 +0900] "GET /WebClient/Ex06_Basic_CSS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2020:11:01:42 +0900] "GET /WebClient/Ex06_Basic_CSS.html HTTP/1.1" 200 981
0:0:0:0:0:0:0:1 - - [10/Apr/2020:11:01:42 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [10/Apr/2020:11:01:43 +0900] "GET /WebClient/Ex06_Basic_CSS.html HTTP/1.1" 200 981
0:0:0:0:0:0:0:1 - - [10/Apr/2020:11:01:43 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [10/Apr/2020:11:01:43 +0900] "GET /WebClient/Ex06_Basic_CSS.html HTTP/1.1" 200 981
0:0:0:0:0:0:0:1 - - [10/Apr/2020:11:01:43 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [10/Apr/2020:11:01:44 +0900] "GET /WebClient/Ex06_Basic_CSS.html HTTP/1.1" 200 981
0:0:0:0:0:0:0:1 - - [10/Apr/2020:11:01:44 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [10/Apr/2020:11:02:30 +0900] "GET /WebClient/Ex06_Basic_CSS.html HTTP/1.1" 200 1017
0:0:0:0:0:0:0:1 - - [10/Apr/2020:11:02:56 +0900] "GET /WebClient/Ex06_Basic_CSS.html HTTP/1.1" 200 1048
0:0:0:0:0:0:0:1 - - [10/Apr/2020:11:03:06 +0900] "GET /WebClient/Ex06_Basic_CSS.html HTTP/1.1" 200 1050
0:0:0:0:0:0:0:1 - - [10/Apr/2020:11:04:06 +0900] "GET /WebClient/Ex06_Basic_CSS.html HTTP/1.1" 200 1118
0:0:0:0:0:0:0:1 - - [10/Apr/2020:11:12:35 +0900] "GET /WebClient/Ex07_Basic_CSS.html HTTP/1.1" 200 860
0:0:0:0:0:0:0:1 - - [10/Apr/2020:11:12:59 +0900] "GET /WebClient/Ex07_Basic_CSS.html HTTP/1.1" 200 939
